年度,校名,系組名,國倍率,英倍率,數A倍率,數B倍率,社會倍率,自然倍率,數甲倍率,物倍率,化倍率,生倍率,歷倍率,地倍率,公倍率,錄取人數,普通生錄取分數
111.0,國立臺灣大學,財務金融學系B組,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,26.0,254.5
111.0,國立臺灣大學,國際企業學系A組,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,205
111.0,國立臺灣大學,國際企業學系B組,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,28.0,311
111.0,國立臺灣大學,資訊管理學系,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.0,0.0,0.0,0.0,0.0,19.0,168.5
111.0,國立臺灣大學,公共衛生學系A組,0.0,1.25,0.0,0.0,0.0,0.0,1.25,1.0,1.0,1.0,0.0,0.0,0.0,17.0,245.5
111.0,國立臺灣大學,公共衛生學系B組,1.0,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,234.5
111.0,國立臺灣大學,電機工程學系,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,47.0,217
111.0,國立臺灣大學,資訊工程學系,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.5,1.0,0.0,0.0,0.0,0.0,49.0,286.5
111.0,國立臺灣大學,法律學系法學組,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.25,28.0,285.5
111.0,國立臺灣大學,法律學系司法組,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.25,25.0,288.25
111.0,國立臺灣大學,法律學系財經法學組,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.25,26.0,292
111.0,國立臺灣大學,生命科學系,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,18.0,216
111.0,國立臺灣大學,生化科技學系,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,12.0,229
111.0,國立臺灣大學,國際體育運動事務學士學位學程,1.25,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,273.25
111.0,國立臺灣師範大學,教育學系,1.5,1.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,26.0,271
111.0,國立臺灣師範大學,教育心理與輔導學系,1.0,1.25,0.0,1.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,12.0,274
111.0,國立臺灣師範大學,社會教育學系,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.5,23.0,293.5
111.0,國立臺灣師範大學,健康促進與衛生教育學系,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.5,0.0,0.0,0.0,12.0,196.5
111.0,國立臺灣師範大學,人類發展與家庭學系家庭生活教育組,1.75,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,293
111.0,國立臺灣師範大學,人類發展與家庭學系幼兒發展與教育組,2.0,2.0,0.0,1.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,289.75
111.0,國立臺灣師範大學,公民教育與活動領導學系,1.25,1.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,42.0,239.75
111.0,國立臺灣師範大學,特殊教育學系,1.25,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,159.75
111.0,國立臺灣師範大學,學習科學學士學位學程,1.5,1.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,203.5
111.0,國立臺灣師範大學,教育學院學士班,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,151
111.0,國立臺灣師範大學,國文學系,2.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,40.0,247.5
111.0,國立臺灣師範大學,英語學系,1.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,11.0,293.5
111.0,國立臺灣師範大學,歷史學系,1.25,1.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,0.0,31.0,262.5
